split,sample,node_type,node_idx,true_b,true_h,pred_b_HGT,pred_h_HGT,pred_b_HAN,pred_h_HAN
external_test,sample_7,beam,47,5.0,5.0,36.20074462890625,28.767017364501957,32.78870391845703,26.6840763092041
external_test,sample_7,beam,52,5.0,5.0,36.08808135986328,28.76336669921875,32.5521354675293,26.497953414916992
external_test,sample_7,beam,53,5.0,5.0,36.1157455444336,28.7550048828125,31.812936782836918,25.85202980041504
external_test,sample_7,beam,54,5.0,5.0,36.151145935058594,28.75309562683105,32.00750732421875,26.03658103942871
external_test,sample_7,beam,55,5.0,5.0,36.18533706665039,28.756576538085938,32.25688934326172,26.231569290161133
external_test,sample_7,beam,80,5.0,5.0,36.17878341674805,28.778308868408203,31.48688697814941,25.35499382019043
external_test,sample_7,beam,85,5.0,5.0,36.10051727294922,28.743337631225582,31.01418685913086,24.93494415283203
external_test,sample_7,beam,89,5.0,5.0,36.13423538208008,28.744686126708984,31.143320083618164,25.035568237304688
external_test,sample_7,beam,94,5.0,5.0,36.151329040527344,28.746612548828125,31.17717170715332,25.10907745361328
external_test,sample_7,beam,98,5.0,5.0,36.172325134277344,28.765045166015625,31.397947311401367,25.276865005493164
external_test,sample_7,beam,102,5.0,5.0,36.5870361328125,28.803152084350582,31.7955322265625,25.819652557373047
external_test,sample_7,beam,107,5.0,5.0,36.45665740966797,28.741535186767575,30.9698486328125,25.204235076904297
external_test,sample_7,beam,116,5.0,5.0,36.5396842956543,28.76888656616211,31.27084732055664,25.45638656616211
external_test,sample_7,beam,121,5.0,5.0,36.57099533081055,28.78058433532715,31.469770431518555,25.58514404296875
external_test,sample_7,beam,125,5.0,5.0,36.567344665527344,28.786487579345703,31.716310501098636,25.740020751953125
external_test,sample_7,beam,128,5.0,5.0,36.713008880615234,28.88821792602539,32.164703369140625,25.96928024291992
external_test,sample_7,beam,134,5.0,5.0,36.4976806640625,28.74815368652344,31.2271671295166,25.25796127319336
external_test,sample_7,beam,139,5.0,5.0,36.65451049804688,28.83044815063477,31.61892890930176,25.681514739990234
external_test,sample_7,beam,143,5.0,5.0,36.68033599853516,28.848541259765625,31.805747985839844,25.742158889770508
external_test,sample_7,beam,148,5.0,5.0,36.723724365234375,28.893356323242188,32.094139099121094,25.95686912536621
external_test,sample_7,beam,152,5.0,5.0,36.21801376342773,28.768238067626957,31.515913009643555,25.501131057739254
external_test,sample_7,beam,157,5.0,5.0,36.139122009277344,28.75176429748535,30.987075805664062,25.039512634277344
external_test,sample_7,beam,161,5.0,5.0,36.2013053894043,28.76291847229004,31.07670021057129,25.13205337524414
external_test,sample_7,beam,166,5.0,5.0,36.217811584472656,28.765647888183597,31.124418258666992,25.187116622924805
external_test,sample_7,beam,170,5.0,5.0,36.22638702392578,28.76653289794922,31.29895401000977,25.334272384643555
external_test,sample_7,beam,173,5.0,5.0,36.19954299926758,28.747127532958984,31.457439422607425,25.37023162841797
external_test,sample_7,beam,175,5.0,5.0,36.13331604003906,28.732595443725582,31.12978172302246,25.09552383422852
external_test,sample_7,beam,176,5.0,5.0,36.157981872558594,28.72763061523437,31.06812286376953,25.05220413208008
external_test,sample_7,beam,177,5.0,5.0,36.17704772949219,28.728179931640625,31.05109024047852,25.070491790771484
external_test,sample_7,beam,178,5.0,5.0,36.18737030029297,28.731067657470703,31.2451286315918,25.19630622863769
external_test,sample_7,beam,179,5.0,5.0,36.17017364501953,28.743236541748047,31.008331298828125,25.167387008666992
external_test,sample_7,beam,180,5.0,5.0,36.11589050292969,28.74509048461914,31.02667999267578,25.098264694213867
external_test,sample_7,beam,181,5.0,5.0,36.13859558105469,28.74256134033203,30.81473731994629,24.93968391418457
external_test,sample_7,beam,182,5.0,5.0,36.15477752685547,28.739870071411133,30.729372024536133,24.918413162231445
external_test,sample_7,beam,183,5.0,5.0,36.17238235473633,28.742130279541016,30.92032623291016,25.06610107421875
external_test,sample_7,beam,184,5.0,5.0,36.22564697265625,28.77056884765625,30.91215705871582,25.01809310913086
external_test,sample_7,beam,185,5.0,5.0,36.120697021484375,28.7312068939209,30.700176239013672,24.80448341369629
external_test,sample_7,beam,186,5.0,5.0,36.17030715942383,28.729198455810547,30.577659606933597,24.76605796813965
external_test,sample_7,beam,187,5.0,5.0,36.20197677612305,28.7342472076416,30.57420539855957,24.78851127624512
external_test,sample_7,beam,188,5.0,5.0,36.22709655761719,28.758026123046875,30.803869247436523,24.9233512878418
external_test,sample_7,beam,189,5.0,5.0,37.00762939453125,28.99026870727539,32.35881805419922,26.01342391967773
external_test,sample_7,beam,190,5.0,5.0,36.822879791259766,28.922849655151367,31.79727935791016,25.60873794555664
external_test,sample_7,beam,191,5.0,5.0,37.36906814575195,29.241012573242188,32.07654571533203,25.781599044799805
external_test,sample_7,beam,192,5.0,5.0,37.21552276611328,29.09317779541016,32.19916534423828,25.852033615112305
