combo,sample,n_nodes,MAE
hybrid_self_loop,sample_195,187,6.53
hybrid_self_loop,sample_10,272,5.724
hybrid_self_loop,sample_182,232,5.552
hybrid_self_loop,sample_111,176,5.423
hybrid_self_loop,sample_146,141,5.376
hybrid_self_loop,sample_203,410,5.17
hybrid_self_loop,sample_235,181,5.028
hybrid_self_loop,sample_251,355,4.932
hybrid_self_loop,sample_99,233,4.907
hybrid_self_loop,sample_86,128,4.706
hybrid_self_loop,sample_92,164,4.498
hybrid_self_loop,sample_142,58,4.487
hybrid_self_loop,sample_192,149,4.199
hybrid_self_loop,sample_52,119,4.164
hybrid_self_loop,sample_117,158,4.038
hybrid_self_loop,sample_216,257,3.934
hybrid_self_loop,sample_191,153,3.912
hybrid_self_loop,sample_31,152,3.901
hybrid_self_loop,sample_179,330,3.8
hybrid_self_loop,sample_6,206,3.707
hybrid_self_loop,sample_42,282,3.508
hybrid_self_loop,sample_4,92,3.456
hybrid_self_loop,sample_215,53,3.288
hybrid_self_loop,sample_163,29,3.231
hybrid_self_loop,sample_39,285,3.225
hybrid_self_loop,sample_166,84,2.813
hybrid_self_loop,sample_118,604,2.642
hybrid_self_loop,sample_132,133,2.562
hybrid_self_loop,sample_53,71,2.262
hybrid_self_loop,sample_150,63,1.839
hybrid_self_loop,sample_178,145,1.789
hybrid_self_loop,sample_63,23,0.625
hybrid_knn,sample_240,657,13.274
hybrid_knn,sample_233,439,9.084
hybrid_knn,sample_151,298,8.835
hybrid_knn,sample_10,272,7.016
hybrid_knn,sample_189,292,6.958
hybrid_knn,sample_243,365,6.754
hybrid_knn,sample_208,189,6.663
hybrid_knn,sample_195,187,6.555
hybrid_knn,sample_92,164,5.798
hybrid_knn,sample_146,141,5.731
hybrid_knn,sample_182,232,5.542
hybrid_knn,sample_73,70,5.527
hybrid_knn,sample_235,181,5.347
hybrid_knn,sample_251,355,5.007
hybrid_knn,sample_111,176,4.94
hybrid_knn,sample_216,257,4.872
hybrid_knn,sample_192,149,4.795
hybrid_knn,sample_142,58,4.788
hybrid_knn,sample_86,128,4.773
hybrid_knn,sample_99,233,4.618
hybrid_knn,sample_203,410,3.965
hybrid_knn,sample_163,29,3.944
hybrid_knn,sample_117,158,3.811
hybrid_knn,sample_150,63,3.722
hybrid_knn,sample_31,152,3.665
hybrid_knn,sample_179,330,3.662
hybrid_knn,sample_52,119,3.521
hybrid_knn,sample_4,92,3.459
hybrid_knn,sample_42,282,3.417
hybrid_knn,sample_191,153,3.286
hybrid_knn,sample_118,604,3.177
hybrid_knn,sample_6,206,3.175
hybrid_knn,sample_39,285,3.149
hybrid_knn,sample_166,84,2.615
hybrid_knn,sample_53,71,2.32
hybrid_knn,sample_132,133,2.287
hybrid_knn,sample_178,145,2.181
hybrid_knn,sample_215,53,2.005
hybrid_knn,sample_63,23,0.663
